State,Count
AL,60
AK,0
AR,20
AZ,138
CA,2102
CO,95
CT,148
DE,76
DC,76
FL,351
GA,312
HI,8
IA,53
ID,38
IL,586
IN,111
KS,49
KY,41
LA,36
ME,14
MD,254
MA,330
MI,295
MN,101
MO,91
MS,13
MT,2
NC,152
ND,20
NE,30
NH,31
NJ,918
NM,10
NV,29
NY,1021
OH,216
OK,46
OR,42
PA,319
RI,26
SC,50
SD,6
TN,68
TX,918
UT,26
VA,423
VT,15
WA,414
WI,94
WV,13
WY,5
