State,Count
Alabama,397
Arkansas,201
Arizona,949
California,18470
Colorado,612
Connecticut,731
Delaware,286
District Of Columbia,391
Florida,2432
Georgia,2178
Hawaii,74
Iowa,408
Idaho,98
Illinois,3387
Indiana,601
Kansas,369
Kentucky,358
Louisiana,277
Maine,87
Maryland,1267
Massachusetts,2750
Michigan,2436
Minnesota,630
Missouri,595
Mississippi,97
Montana,28
North Carolina,1333
North Dakota,96
Nebraska,252
New Hampshire,193
New Jersey,5808
New Mexico,189
Nevada,158
New York,6209
Ohio,1320
Oklahoma,177
Oregon,744
Pennsylvania,1953
Rhode Island,133
South Carolina,257
South Dakota,62
Tennessee,441
Texas,7264
Utah,289
Virginia,2499
Vermont,109
Washington,4037
Wisconsin,618
West Virginia,108
Wyoming,22
