US_Economic_Sector,Count
Advanced Mfg,1412
Aerospace,371
Agribusiness,25
Automotive,95
Biotechnology,43
Construction,156
Educational Services,796
Energy,119
Finance,833
Geospatial,6
Health Care,641
Homeland Security,3
Hospitality,144
IT,3815
Other Economic Sector,1423
Retail,326
Transportation,106
