State,Count
AL,458
AK,0
AR,256
AZ,1299
CA,27474
CO,921
CT,1042
DE,578
DC,410
FL,3345
GA,3111
HI,82
IA,427
ID,166
IL,4462
IN,911
KS,355
KY,476
LA,350
ME,78
MD,1399
MA,4024
MI,3787
MN,882
MO,887
MS,100
MT,55
NC,2265
ND,108
NE,300
NH,257
NJ,8969
NM,246
NV,208
NY,8459
OH,1703
OK,300
OR,1233
PA,2498
RI,197
SC,384
SD,73
TN,611
TX,14308
UT,394
VA,3348
VT,89
WA,6632
WI,829
WV,82
WY,24
