State,Count
Alabama,106
Arkansas,74
Arizona,303
California,4999
Colorado,190
Connecticut,230
Delaware,96
District Of Columbia,124
Florida,744
Georgia,661
Hawaii,20
Iowa,106
Idaho,40
Illinois,964
Indiana,177
Kansas,103
Kentucky,100
Louisiana,70
Maine,17
Maryland,444
Massachusetts,858
Michigan,681
Minnesota,235
Missouri,159
Mississippi,30
Montana,4
North Carolina,339
North Dakota,20
Nebraska,78
New Hampshire,70
New Jersey,1917
New Mexico,49
Nevada,41
New York,1892
Ohio,387
Oklahoma,73
Oregon,384
Pennsylvania,605
Rhode Island,38
South Carolina,111
South Dakota,30
Tennessee,113
Texas,1781
Utah,85
Virginia,882
Vermont,38
Washington,705
Wisconsin,258
West Virginia,23
Wyoming,8
