State,Count
AL,463
AK,0
AR,112
AZ,779
CA,20245
CO,516
CT,602
DE,246
DC,425
FL,2262
GA,8672
HI,54
IA,357
ID,107
IL,3778
IN,414
KS,254
KY,290
LA,225
ME,57
MD,919
MA,2158
MI,1791
MN,496
MO,496
MS,55
MT,18
NC,1370
ND,68
NE,219
NH,141
NJ,7361
NM,140
NV,125
NY,7058
OH,1067
OK,156
OR,1077
PA,1905
RI,109
SC,577
SD,37
TN,274
TX,13979
UT,230
VA,2686
VT,78
WA,2877
WI,492
WV,59
WY,13
