US_Economic_Sector,Count
Advanced Mfg,5024
Aerospace,1134
Agribusiness,138
Automotive,272
Biotechnology,130
Construction,268
Educational Services,2395
Energy,278
Finance,2466
Geospatial,28
Health Care,1836
Homeland Security,14
Hospitality,418
IT,16406
Other Economic Sector,4055
Retail,1178
Transportation,245
