US_Economic_Sector,Count
Advanced Mfg,15864
Aerospace,3444
Agribusiness,1154
Automotive,1543
Biotechnology,2251
Construction,419
Educational Services,6325
Energy,448
Finance,7536
Geospatial,16
Health Care,4121
Homeland Security,113
Hospitality,1793
IT,42928
Other Economic Sector,10114
Retail,12251
Transportation,707
