US_Economic_Sector,Count
Advanced Mfg,11112
Aerospace,2447
Agribusiness,346
Automotive,671
Biotechnology,675
Construction,529
Educational Services,5723
Energy,566
Finance,5363
Geospatial,86
Health Care,3680
Homeland Security,48
Hospitality,728
IT,29517
Other Economic Sector,7965
Retail,4555
Transportation,486
