State,Count
Alabama,60
Arkansas,20
Arizona,138
California,2102
Colorado,95
Connecticut,148
Delaware,76
District Of Columbia,76
Florida,351
Georgia,312
Hawaii,8
Iowa,53
Idaho,38
Illinois,586
Indiana,111
Kansas,49
Kentucky,41
Louisiana,36
Maine,14
Maryland,254
Massachusetts,330
Michigan,295
Minnesota,101
Missouri,91
Mississippi,13
Montana,2
North Carolina,152
North Dakota,20
Nebraska,30
New Hampshire,31
New Jersey,918
New Mexico,10
Nevada,29
New York,1021
Ohio,216
Oklahoma,46
Oregon,42
Pennsylvania,319
Rhode Island,26
South Carolina,50
South Dakota,6
Tennessee,68
Texas,918
Utah,26
Virginia,423
Vermont,15
Washington,414
Wisconsin,94
West Virginia,13
Wyoming,5
