State,Count
AL,171
AK,0
AR,110
AZ,504
CA,7878
CO,298
CT,402
DE,177
DC,212
FL,1100
GA,1198
HI,27
IA,163
ID,51
IL,1815
IN,278
KS,158
KY,172
LA,124
ME,41
MD,647
MA,1317
MI,1465
MN,318
MO,291
MS,50
MT,18
NC,669
ND,50
NE,120
NH,124
NJ,3539
NM,74
NV,77
NY,2709
OH,678
OK,102
OR,478
PA,1048
RI,47
SC,114
SD,16
TN,201
TX,3078
UT,141
VA,1430
VT,60
WA,2142
WI,261
WV,45
WY,23
