State,Count
AL,106
AK,0
AR,74
AZ,303
CA,4999
CO,190
CT,230
DE,96
DC,124
FL,744
GA,661
HI,20
IA,106
ID,40
IL,964
IN,177
KS,103
KY,100
LA,70
ME,17
MD,444
MA,858
MI,681
MN,235
MO,159
MS,30
MT,4
NC,339
ND,20
NE,78
NH,70
NJ,1917
NM,49
NV,41
NY,1892
OH,387
OK,73
OR,384
PA,605
RI,38
SC,111
SD,30
TN,113
TX,1781
UT,85
VA,882
VT,38
WA,705
WI,258
WV,23
WY,8
