US_Economic_Sector,Count
Advanced Mfg,3564
Aerospace,661
Agribusiness,78
Automotive,221
Biotechnology,110
Construction,244
Educational Services,1617
Energy,206
Finance,1544
Geospatial,1272
Health Care,12
Homeland Security,12
Hospitality,373
IT,8064
Other Economic Sector,2735
Retail,623
Transportation,151
