US_Economic_Sector,Count
Advanced Mfg,12836
Aerospace,3020
Agribusiness,1606
Automotive,1206
Biotechnology,1224
Construction,379
Educational Services,5175
Energy,596
Finance,5635
Geospatial,68
Health Care,3255
Homeland Security,58
Hospitality,1591
IT,36783
Other Economic Sector,8307
Retail,7127
Transportation,560
