State,Count
AK,10
AL,3
AZ,36
AR,283
CA,10
CO,21
CT,15
DE,8
FL,43
GA,53
HI,3
ID,2
IL,6
IN,63
IA,10
KS,3
KY,14
LA,5
ME,1
MD,103
MA,32
MI,39
MN,11
MS,9
MO,2
MT,0
NE,19
NV,1
NH,3
NJ,4
NM,140
NY,0
NC,7
ND,171
OH,18
OK,3
OR,3
PA,45
RI,2
SC,6
SD,1
TN,4
TX,122
UT,2
VT,66
VA,1
WA,74
WV,12
WI,1
WY,1
