US_Economic_Sector,Count
Advanced Mfg,210
Aerospace,39
Agribusiness,9
Automotive,12
Biotechnology,3
Construction,53
Educational Services,175
Energy,11
Finance,73
Health Care,77
Homeland Security,1
Hospitality,74
IT,455
Other Economic Sector,221
Retail,73
Transportation,12
